#{"t_start": 1591361345.185406, "env_id": "SuperMarioBros-v2"}
r,l,t
251,140,3.227279
508,639,6.833838
498,531,9.79052
511,560,12.931307
510,580,16.181759
614,779,42.347797
510,585,62.87517
484,1100,101.6229
491,663,125.313355
506,663,148.599531
498,823,177.433624
498,535,196.129874
499,817,224.789909
512,555,244.280618
495,594,265.080313
509,608,286.476593
503,737,312.342904
494,620,334.060869
508,632,356.265046
512,555,375.762332
492,650,398.511915
241,132,403.226251
509,608,424.779858
492,641,447.711038
498,822,476.546723
237,155,482.040621
499,520,500.247431
251,132,504.894154
506,671,528.382081
488,723,553.752937
505,682,577.707804
512,550,597.044378
498,539,615.928143
511,564,635.742898
514,519,653.972349
494,614,675.510646
508,624,697.39963
510,598,718.628377
495,591,739.448837
502,748,766.067205
509,618,787.86729
498,538,806.776585
248,124,811.155175
510,589,831.889297
223,150,837.201275
249,122,841.511499
507,650,864.316876
495,581,884.834778
506,663,908.207697
512,545,927.394686
492,641,949.971075
512,547,969.265364
242,129,973.807491
494,601,994.875119
503,727,1020.6257
503,720,1045.931412
230,134,1050.706415
513,526,1069.602288
628,786,1097.237198
494,607,1118.568542
511,562,1138.324155
512,552,1157.726562
226,132,1162.370075
513,536,1181.236617
513,539,1200.238341
492,659,1223.504112
511,560,1243.440376
492,957,1277.401088
228,132,1282.062072
513,538,1301.110514
238,145,1306.274509
492,657,1329.882352
508,620,1351.773983
237,137,1356.650733
489,715,1382.496664
512,557,1402.285607
511,563,1422.189763
495,593,1443.296758
252,132,1448.023191
505,696,1472.722504
498,537,1491.803871
512,558,1511.565129
626,839,1541.231953
232,122,1545.533249
635,649,1568.520559
508,635,1591.034343
496,565,1611.018557
504,700,1635.971688
505,699,1660.665464
499,517,1679.292406
611,1127,1719.242448
510,580,1739.818014
486,773,1767.154068
246,128,1771.713034
512,556,1791.38755
490,684,1815.541151
250,124,1819.950356
242,135,1824.768055
494,605,1846.215052
503,721,1871.713006
502,759,1898.485371
231,136,1903.276908
513,530,1922.014189
250,125,1926.448179
492,646,1949.479948
510,589,1970.258145
512,544,1989.790192
496,564,2009.841517
499,815,2038.577144
510,583,2059.172997
622,604,2080.526486
607,1204,2123.435608
586,721,2149.121052
491,675,2173.173299
245,120,2177.477207
621,929,2210.656671
498,527,2229.475472
625,846,2259.833948
244,139,2264.781798
497,555,2284.58872
512,551,2304.769029
507,650,2327.993676
226,136,2332.844173
623,885,2364.661874
513,532,2383.668717
606,931,2416.90673
633,688,2441.519159
504,715,2467.106299
215,168,2473.10601
507,659,2496.74938
247,127,2501.304899
234,122,2505.682129
248,130,2510.360021
249,127,2514.92591
494,602,2536.443883
251,122,2540.836848
796,951,2575.185742
498,534,2594.227596
636,620,2616.953388
621,931,2650.293294
234,130,2654.922086
247,132,2659.658329
614,595,2680.950349
784,890,2712.799595
628,798,2741.414265
250,129,2746.053786
615,754,2773.119948
638,352,2785.766618
506,661,2809.382974
777,1037,2846.544455
625,342,2859.105813
796,956,2893.494761
779,996,2929.518544
231,144,2934.690872
247,115,2938.800374
611,833,2968.476558
231,140,2973.497859
513,524,2992.254769
612,808,3021.031548
246,140,3026.048516
511,565,3046.180965
498,538,3065.404049
786,1146,3106.252011
797,938,3139.828224
223,136,3144.694923
746,558,3164.874571
513,529,3183.78209
223,132,3188.485443
623,384,3202.196701
640,553,3221.927488
216,150,3227.276309
249,116,3231.631753
789,1095,3271.05284
603,356,3283.680309
803,818,3312.842624
1040,642,3335.703989
623,590,3356.721009
238,176,3363.025234
802,827,3392.517195
736,570,3412.831384
610,310,3423.867824
628,794,3452.097583
220,136,3456.926309
803,817,3486.266728
241,129,3490.913639
997,1189,3533.100649
1035,722,3559.243459
512,558,3579.062384
1012,893,3610.773782
250,118,3614.969209
250,113,3619.082471
1000,1126,3659.071212
641,534,3678.050823
1091,1185,3720.117278
1001,1104,3759.416651
636,622,3781.744221
248,123,3786.115513
598,292,3796.456851
250,122,3800.821564
611,399,3814.940908
232,108,3818.757036
249,106,3822.528231
625,405,3836.909213
218,138,3841.776145
639,560,3862.080086
1043,772,3889.440193
623,590,3910.30983
514,515,3928.56549
246,113,3932.589318
790,772,3959.906845
252,106,3963.688279
808,709,3988.798875
236,112,3992.750855
636,623,4014.84878
1029,860,4045.289418
1045,694,4069.915092
814,598,4091.442743
234,157,4097.037198
217,160,4102.718853
616,264,4112.100349
594,389,4126.00588
745,496,4143.620009
1032,803,4172.657155
1038,669,4196.467063
606,286,4206.609236
248,110,4210.539237
249,109,4214.43416
233,116,4218.549897
632,348,4230.868472
619,421,4245.810266
635,352,4258.367034
624,278,4268.243595
1043,583,4288.957718
1032,933,4322.069731
242,130,4326.703393
808,705,4351.693745
607,392,4365.545164
796,944,4399.324938
247,115,4403.425431
604,318,4414.684214
512,557,4434.425382
637,335,4446.307138
797,622,4468.331474
618,350,4481.132237
772,649,4504.236396
607,260,4513.442853
252,106,4517.226707
620,273,4526.903387
236,114,4530.930503
1692,974,4565.46214
99,54,4567.39046
84,55,4569.344124
794,982,4604.228063
1348,570,4624.531929
84,55,4626.544078
814,592,4647.573919
1037,674,4671.596759
236,116,4675.750374
1042,571,4696.431403
248,115,4700.56146
1025,683,4724.902158
1038,697,4749.766804
740,467,4766.475374
232,112,4770.466519
807,720,4796.571064
626,325,4808.148963
206,154,4813.635187
636,290,4823.976481
616,325,4835.545795
1031,554,4855.322329
609,264,4864.728518
1044,624,4887.005989
590,274,4896.702873
603,260,4905.960266
609,277,4915.914653
1327,769,4943.430673
604,366,4956.499764
606,275,4966.328726
598,274,4976.042916
1057,540,4995.267383
651,329,5007.309606
591,258,5016.505942
251,112,5020.523976
607,257,5029.896803
588,256,5039.199242
1041,645,5062.666129
609,275,5072.639956
598,312,5083.880924
1031,848,5114.725565
240,129,5119.334059
1292,919,5151.944129
625,356,5164.622292
246,115,5168.727749
1556,830,5198.199914
608,364,5211.15728
607,241,5219.741809
789,798,5248.046252
240,136,5252.906702
248,113,5256.956321
591,266,5266.471781
818,502,5284.389694
249,119,5288.635493
1014,835,5318.568279
611,272,5328.261037
612,323,5339.747496
593,294,5350.174503
604,280,5360.122196
1038,708,5385.305254
602,384,5398.932664
782,1221,5442.773885
1326,961,5476.895823
62,58,5478.971673
651,336,5490.916162
1424,849,5521.211447
82,59,5523.299969
601,428,5538.558552
224,143,5543.645183
234,120,5547.884219
355,481,5565.003927
633,339,5577.107742
801,558,5596.911948
1573,920,5629.847187
99,54,5631.805293
84,55,5633.771214
248,110,5637.758054
611,277,5647.628671
591,264,5657.040865
611,296,5667.608745
614,243,5676.25313
1032,506,5694.228054
1047,520,5712.801386
1039,647,5736.266536
233,116,5740.357202
235,130,5744.996758
1042,626,5767.242779
1027,618,5789.094941
1310,994,5824.30693
248,111,5828.252606
1029,531,5847.00213
1339,737,5873.084011
99,54,5875.003362
84,55,5876.958476
232,134,5881.697435
1684,827,5910.99002
85,57,5913.017815
600,280,5923.166786
1298,1653,5981.394938
579,309,5992.284657
251,106,5996.045339
247,111,6000.003788
615,264,6009.30818
1013,1200,6052.216692
614,277,6062.02606
613,334,6073.785868
744,476,6090.602384
603,307,6101.432192
226,146,6106.591136
249,134,6111.327685
231,145,6116.465515
621,364,6129.289103
607,406,6143.661147
1335,849,6173.667466
84,55,6175.613646
1053,777,6203.218008
654,273,6212.948344
1023,701,6238.344832
609,290,6248.743818
237,157,6254.378908
1026,648,6277.602484
1345,657,6301.222681
99,55,6303.2254
85,56,6305.204478
1339,748,6331.940972
99,54,6333.89242
84,55,6335.873046
244,118,6340.115534
1044,543,6360.068692
233,114,6364.157019
725,336,6376.187471
236,123,6380.63159
219,130,6385.30831
801,868,6416.596326
654,271,6426.273787
1031,521,6444.81469
760,622,6466.965798
235,129,6471.608915
1025,654,6494.868638
245,114,6498.933121
247,111,6502.910741
233,112,6506.903848
1035,749,6533.958846
616,255,6543.18902
1323,745,6569.816222
1049,616,6591.923459
247,113,6595.996895
223,126,6600.536991
233,126,6605.060155
251,113,6609.132286
1033,511,6627.384485
1329,973,6662.820278
99,54,6664.770296
85,56,6666.785144
1337,874,6697.997072
99,54,6699.935073
160,84,6702.938127
250,114,6707.029456
611,233,6715.352525
1027,622,6737.553356
1053,417,6752.428378
632,347,6764.788201
1028,609,6786.305501
1043,569,6806.487585
1049,604,6827.987752
597,282,6838.05763
612,236,6846.612908
803,805,6875.213761
596,290,6885.448644
813,616,6907.381474
583,435,6922.865697
1018,784,6950.725537
1041,697,6976.100879
251,111,6980.04818
592,254,6989.025091
1040,649,7011.976578
629,401,7026.226326
1011,912,7058.46122
233,126,7062.912653
813,617,7084.757323
1021,730,7110.646493
249,110,7114.553841
251,111,7118.494726
499,514,7136.589885
248,152,7141.951433
237,131,7146.863353
1052,574,7167.29586
1035,740,7193.471064
235,133,7198.173368
1034,602,7219.398354
513,528,7238.039406
609,381,7251.464688
233,112,7255.422561
242,114,7259.461626
610,359,7272.123742
1032,531,7291.445279
1042,584,7312.018059
1033,799,7340.16628
611,340,7352.128986
249,106,7355.87934
242,133,7360.585045
236,116,7364.670237
240,132,7369.358087
1041,650,7392.240373
1047,629,7414.49999
1558,1032,7451.188127
99,55,7453.255529
84,56,7455.323191
597,464,7471.822158
639,315,7483.010745
1406,796,7511.258369
1035,753,7538.152506
234,133,7542.884841
218,134,7547.650261
1336,662,7571.182147
75,61,7573.378308
84,56,7575.37517
813,602,7597.241817
640,329,7608.917296
623,588,7629.815369
248,112,7633.800741
1321,612,7655.606669
619,661,7679.090376
246,118,7683.304387
234,159,7688.960086
234,114,7693.018934
238,132,7697.725513
233,133,7702.453949
221,136,7707.289374
1045,531,7726.268395
250,111,7730.248266
230,118,7734.456827
236,124,7738.900399
246,113,7742.966362
231,114,7747.013349
247,110,7750.939562
246,117,7755.127238
612,538,7774.530681
1053,858,7805.096953
1043,613,7826.940958
221,128,7831.500882
626,314,7842.705677
1327,656,7866.070308
232,114,7870.110847
233,126,7874.608021
754,523,7893.264824
589,380,7907.282181
252,112,7911.322447
1037,681,7935.609595
217,128,7940.185643
610,232,7948.472772
247,113,7952.51773
1022,697,7977.307507
606,518,7995.710618
780,665,8019.321579
1024,650,8042.420746
603,264,8051.828828
778,729,8078.040576
800,570,8098.294684
1334,547,8117.759824
99,56,8119.774984
84,55,8121.744771
632,340,8133.821043
249,109,8137.735384
600,272,8147.389188
635,316,8158.646942
617,371,8171.852429
622,310,8182.83742
247,106,8186.623144
1056,824,8216.304008
1306,773,8243.825045
1030,808,8272.549076
734,593,8293.68394
1020,767,8320.871689
614,280,8330.792366
1050,473,8347.56903
1024,621,8369.633059
1331,577,8390.406642
96,60,8392.572158
84,55,8394.51189
241,146,8399.731681
232,157,8405.31778
1019,751,8432.102798
230,130,8436.751302
1046,656,8460.175949
233,106,8463.941538
1157,636,8486.565681
249,111,8490.523669
1025,649,8513.605568
247,110,8517.542512
248,115,8521.809831
1318,873,8553.253032
602,372,8566.479726
652,313,8577.618014
595,240,8586.145181
807,728,8612.12612
767,683,8636.491201
1017,839,8666.350296
620,328,8678.172636
629,317,8689.606123
235,120,8693.863126
635,640,8716.643076
250,113,8720.702322
791,750,8747.422743
248,106,8751.220026
811,651,8774.434246
588,254,8783.471917
654,274,8793.292036
248,113,8797.338196
232,134,8802.066836
816,542,8821.345101
1044,554,8841.503604
499,505,8859.434444
615,242,8868.089444
1042,617,8890.151945
234,106,8893.922888
635,270,8903.569409
1043,630,8926.080213
1032,553,8945.805839
250,108,8949.662754
817,523,8968.324199
1402,1044,9005.816359
1046,1037,9042.921497
1701,849,9073.19228
83,60,9075.350477
608,230,9083.556823
1337,669,9107.416028
306,148,9112.706873
1930,822,9142.176986
76,57,9144.353944
162,86,9147.585358
615,608,9169.549081
512,558,9189.523215
595,482,9206.708503
813,604,9228.271417
514,506,9246.305244
1017,803,9274.934179
1060,759,9302.383651
637,600,9323.775775
602,364,9336.716761
638,278,9346.61783
248,105,9350.407464
1309,719,9376.058689
600,502,9394.040783
635,273,9403.788368
613,326,9415.421922
1343,670,9439.292053
100,55,9441.283014
84,55,9443.258373
599,442,9459.266196
654,277,9469.342587
1050,539,9488.534662
616,334,9500.39159
762,519,9518.960417
234,106,9522.730136
624,280,9532.715759
250,113,9536.797697
795,668,9560.589112
1320,1054,9598.336018
63,61,9600.621195
85,56,9602.622504
1331,614,9624.561706
98,59,9626.698802
82,60,9628.826708
638,582,9649.629545
619,597,9670.923394
592,248,9679.834799
609,456,9696.204233
1355,576,9716.990609
81,60,9719.154869
1568,826,9748.848077
97,59,9750.977333
83,60,9753.132516
610,238,9761.683353
633,369,9775.467851
1317,698,9800.408916
608,230,9808.70002
1309,982,9843.834466
1313,983,9878.981481
1328,913,9912.056339
97,59,9914.205395
83,60,9916.341952
650,348,9928.869126
249,105,9932.716863
580,456,9949.03581
615,544,9968.498281
637,612,9990.387272
638,294,10000.916629
1153,568,10021.273793
653,291,10031.687106
789,785,10059.755034
1321,752,10087.318173
96,60,10089.478644
76,66,10091.854919
1036,755,10119.080908
1144,733,10145.86551
594,280,10156.106428
615,286,10166.496712
607,229,10174.855076
234,114,10178.982356
651,332,10191.082449
245,111,10195.114193
1328,660,10219.364601
1034,798,10248.468123
806,749,10275.50066
1678,764,10302.826537
1344,652,10326.425189
99,54,10328.391864
82,60,10330.566733
621,316,10341.952266
630,399,10356.342099
592,288,10366.637942
1323,808,10396.022005
96,59,10398.2154
82,60,10400.356465
815,562,10420.509883
249,111,10424.493243
1329,544,10443.99
797,920,10477.055727
607,233,10485.377594
1316,794,10513.840642
1857,918,10547.048403
182,117,10551.251664
85,56,10553.265376
638,596,10574.663979
628,789,10602.830438
595,230,10611.027226
798,918,10643.800917
604,337,10655.848256
499,511,10674.132929
1339,759,10701.628181
101,61,10703.997609
82,60,10706.270728
1038,834,10736.321681
249,105,10740.129062
1024,642,10763.16071
635,296,10773.788538
1033,796,10802.294832
609,362,10815.236366
651,334,10827.509312
625,439,10843.237802
587,426,10858.505768
817,520,10877.114272
1573,905,10909.453101
309,144,10914.599971
1028,860,10945.411634
1044,540,10964.785807
619,308,10975.802113
608,314,10987.075463
816,549,11006.761132
802,526,11026.056117
1046,517,11044.538116
1915,1163,11086.156118
84,55,11088.129899
1343,681,11112.444647
100,55,11114.441968
81,60,11116.592833
243,114,11120.679698
1429,793,11149.269806
83,60,11151.407097
1322,728,11177.491025
63,61,11179.688021
60,83,11182.67521
1347,565,11202.906424
444,217,11210.708709
82,60,11212.851864
1349,571,11233.317894
331,139,11238.318584
63,65,11240.62798
631,324,11252.219715
1327,708,11277.614387
76,66,11279.9663
1428,762,11307.278446
83,72,11309.89078
50,63,11312.135914
612,548,11332.264222
652,301,11343.118668
606,364,11356.097259
624,254,11365.216066
1435,687,11389.813338
83,60,11391.947855
2102,1391,11442.053115
61,60,11444.251901
46,61,11446.433045
244,114,11450.582254
1857,887,11482.529009
81,60,11484.692293
610,256,11493.926399
809,699,11519.09928
1025,799,11547.777436
1338,786,11575.946416
63,61,11578.171173
46,61,11580.36442
618,558,11600.397424
1041,670,11624.385982
618,288,11634.885194
620,306,11646.246558
1046,499,11664.144302
599,352,11676.726563
632,711,11702.225313
616,249,11711.178831
606,336,11723.240669
617,306,11734.197839
623,331,11746.351233
1334,574,11766.876944
627,806,11795.713299
1428,727,11821.852936
55,63,11824.094098
251,106,11827.925088
608,383,11841.653689
1028,606,11863.404118
1338,794,11891.862007
63,61,11894.085006
80,69,11896.569954
249,112,11900.604784
614,365,11913.69189
605,342,11925.919107
250,106,11929.738041
1051,430,11945.280875
236,110,11949.408777
1347,548,11969.25504
96,62,11971.521639
652,314,11982.778319
610,236,11991.273955
653,299,12002.014025
746,628,12024.525973
1440,572,12045.080955
65,62,12047.345638
71,75,12050.193681
611,234,12058.748707
1339,738,12085.163438
46,61,12087.352188
609,380,12101.029622
1333,568,12121.478889
46,61,12123.672226
1434,684,12148.182791
61,60,12150.376433
48,62,12152.611256
639,565,12172.887672
631,271,12182.615983
1029,585,12203.577407
1571,920,12236.598094
84,73,12239.250599
48,62,12241.469406
626,833,12271.961382
609,235,12280.41758
611,268,12290.056091
250,110,12294.033377
637,297,12304.735922
601,284,12314.911031
625,342,12327.150725
1431,677,12351.421647
46,61,12353.678644
629,338,12366.096159
622,305,12377.02171
233,112,12381.028168
1580,702,12406.26335
61,60,12408.453522
431,182,12414.980621
247,114,12419.109456
812,627,12441.629521
604,288,12451.986926
1420,724,12478.081391
61,60,12480.274898
46,61,12482.515175
250,106,12486.346736
621,311,12497.514915
234,108,12501.395709
1576,832,12531.224144
61,60,12533.386423
50,63,12535.662268
653,284,12545.8493
251,111,12549.846769
228,120,12554.142045
244,114,12558.24714
245,121,12562.612843
1684,744,12589.705165
609,276,12599.625364
815,571,12620.187582
1332,602,12641.759965
631,358,12654.605318
623,317,12666.329385
1313,992,12701.888561
629,370,12715.18954
512,549,12734.868439
1336,520,12753.502434
607,306,12764.481833
601,431,12779.893585
1028,650,12803.014627
624,344,12815.295738
1050,515,12833.63322
578,562,12853.594593
1326,651,12876.791589
77,59,12879.022198
85,56,12881.099684
512,543,12900.729529
610,265,12910.171544
499,509,12928.259485
514,512,12946.4996
1029,874,12978.14258
624,300,12988.93529
611,318,13000.319864
639,560,13020.373659
604,314,13031.59361
1341,717,13057.286123
96,59,13059.441463
84,55,13061.426677
817,536,13080.720182
509,607,13102.403475
498,527,13121.214599
1703,722,13147.016265
94,59,13149.149165
84,57,13151.188523
623,880,13182.422898
612,541,13202.208117
597,606,13223.75396
608,318,13235.130475
817,527,13254.016817
498,531,13272.914306
1420,796,13301.581328
97,59,13303.698617
83,55,13305.678724
654,274,13315.457712
638,582,13336.325805
1413,774,13363.980538
1049,454,13380.222445
249,113,13384.258419
1407,880,13415.70384
758,522,13434.440083
1691,925,13467.511658
81,60,13469.66064
621,282,13479.695599
1065,615,13501.825386
1416,704,13527.340933
628,384,13540.990848
1686,991,13576.341952
80,60,13578.490995
1442,924,13611.768415
175,85,13614.836669
46,62,13617.05654
1052,422,13632.186827
633,277,13642.047413
1843,802,13670.587246
1033,801,13699.099858
1432,727,13725.077987
83,60,13727.235484
513,533,13746.295429
1044,558,13766.281212
488,723,13792.131406
357,454,13808.368135
514,511,13827.132993
233,112,13831.11708
718,534,13850.187182
1338,592,13871.352432
80,60,13873.472835
1037,681,13898.149703
1044,558,13918.080698
234,106,13921.856518
608,476,13938.805857
621,365,13951.799953
616,304,13962.567008
3162,2004,14035.572441
309,453,14051.697422
225,541,14070.821509
653,292,14081.18988
1043,612,14102.895079
1328,682,14127.27793
1333,511,14145.66396
74,71,14148.215389
85,56,14150.192036
1931,774,14177.693519
96,59,14179.824892
80,61,14181.977312
633,316,14193.199528
808,703,14218.406836
624,578,14238.833003
611,268,14248.320773
2207,1847,14313.743263
316,145,14318.89385
514,513,14337.038408
1430,711,14362.216172
46,61,14364.380987
3159,2090,14440.321209
246,423,14455.489622
586,479,14472.396647
1695,862,14503.085144
70,65,14505.568403
431,184,14512.178246
252,106,14515.963537
616,549,14535.417421
1902,830,14564.810199
612,284,14574.923646
809,691,14599.450989
1563,708,14624.505966
250,110,14628.440109
1432,789,14656.835398
81,60,14658.967931
628,302,14669.675034
641,291,14680.003321
1019,769,14707.234206
619,300,14717.865835
1857,885,14749.510802
76,66,14751.950891
636,639,14774.803505
1343,644,14797.67735
76,66,14800.023772
610,274,14809.893969
1857,921,14842.667862
81,60,14844.784726
250,110,14848.688041
235,129,14853.284349
231,114,14857.311395
1428,842,14887.209722
446,177,14893.582496
81,60,14895.726725
610,298,14906.347565
816,541,14925.579159
620,368,14938.685898
1588,638,14961.38581
97,59,14963.51874
81,60,14965.647178
1571,956,14999.616685
96,59,15001.72921
84,56,15003.731529
634,322,15015.169373
1440,565,15035.316402
81,60,15037.444588
1053,392,15051.390605
1582,753,15078.642865
46,61,15080.805106
1049,444,15096.577831
241,121,15100.898908
1027,591,15122.149498
247,108,15126.018287
616,273,15135.729319
1409,680,15159.926646
357,450,15175.866281
1349,557,15195.693246
81,58,15197.743599
2242,1787,15261.274882
65,63,15263.550738
76,61,15265.709335
1849,954,15299.690446
327,141,15304.722316
154,98,15308.214432
611,282,15318.259674
1037,712,15343.570366
596,256,15352.663303
810,676,15377.250547
624,579,15397.86265
792,722,15423.754985
1431,624,15445.992798
65,63,15448.248444
9,448,15464.150786
609,338,15476.167619
1686,881,15507.519532
83,55,15509.485534
252,110,15513.409351
2232,1352,15561.532031
81,60,15563.67751
616,342,15575.837973
247,107,15579.683899
709,382,15593.348306
631,730,15619.327556
1448,733,15645.379447
74,66,15647.713949
1348,557,15667.635627
73,81,15670.548218
71,75,15673.220962
248,116,15677.358173
244,121,15681.85608
230,128,15686.641539
641,534,15705.72188
623,435,15721.198686
598,520,15740.085051
1037,616,15762.193087
638,291,15772.609588
595,392,15786.650914
1037,741,15813.176178
615,347,15825.553399
1430,838,15855.434709
247,108,15859.305016
1580,751,15886.071786
82,61,15888.257214
606,356,15900.913367
1351,516,15919.298003
59,72,15921.86413
634,294,15932.33671
1321,765,15959.636717
83,60,15961.769531
1582,724,15987.685754
318,181,15994.436624
76,67,15996.957662
245,114,16001.186035
610,251,16010.172337
1565,782,16038.24787
1582,636,16060.892973
86,74,16063.554228
654,302,16074.312566
1700,754,16101.142711
170,103,16104.831051
46,61,16107.013443
1691,766,16134.232072
61,60,16136.410645
308,154,16141.885254
605,270,16151.472285
762,729,16177.42591
1327,670,16201.224401
244,114,16205.325356
2098,1460,16257.6055
306,164,16263.541517
1039,618,16285.980222
1570,795,16315.353354
47,61,16317.554324
2099,1450,16369.970246
448,239,16378.593695
152,104,16382.326285
252,106,16386.177596
248,115,16390.382229
2098,1171,16432.649572
514,509,16451.086701
249,113,16455.206146
1312,990,16491.280156
774,600,16513.078441
1935,921,16546.363085
313,142,16551.494678
513,522,16570.10008
588,419,16585.05075
603,382,16598.745522
1573,744,16625.866745
78,71,16628.409946
312,138,16633.335952
1341,729,16659.686655
93,65,16662.081323
317,140,16667.198517
1583,660,16690.896647
327,143,16696.0461
311,140,16701.095686
589,634,16723.855636
2102,1381,16773.345099
61,73,16775.975155
243,118,16780.294168
1070,524,16799.404006
1560,840,16829.773094
251,106,16833.632004
1681,1167,16875.843562
46,61,16878.056779
654,270,16887.759243
1074,470,16904.670523
753,818,16934.109534
605,252,16943.19402
1692,843,16973.522841
59,72,16976.129195
617,250,16985.159774
1342,711,17010.659672
828,978,17045.833131
1556,1144,17086.874618
97,63,17089.140597
46,61,17091.317397
602,244,17100.019129
604,253,17109.031295
230,122,17113.341729
242,116,17117.468547
1448,769,17144.853481
435,206,17152.269931
608,250,17161.134529
1918,909,17193.517237
424,232,17202.542055
250,110,17206.61078
640,293,17217.456829
1328,555,17237.096641
653,294,17247.546133
1048,521,17266.07117
797,624,17288.233169
1431,754,17315.040692
794,672,17338.979202
159,84,17341.965979
1579,802,17370.38338
177,87,17373.509957
61,65,17375.791474
629,326,17387.361432
252,115,17391.453963
230,114,17395.482077
744,472,17412.225186
244,115,17416.318756
496,574,17436.684234
356,470,17453.295399
1040,633,17475.762656
1023,701,17500.641138
252,106,17504.616162
1326,1062,17542.93197
179,94,17546.269688
812,638,17568.978047
356,475,17585.814986
234,106,17589.56341
243,114,17593.632985
618,403,17607.90298
759,704,17632.7837
1699,852,17662.971283
1099,707,17688.112618
159,90,17691.322005
608,280,17701.258694
248,121,17705.554392
1567,708,17730.628017
1583,708,17755.738475
178,87,17758.867606
136,126,17763.354768
1039,634,17786.008802
1347,600,17807.517037
162,90,17810.872054
1339,733,17837.569906
671,337,17849.629645
649,276,17859.535853
622,366,17872.597124
651,323,17884.099803
236,112,17888.06639
512,556,17907.818107
626,319,17919.149692
235,112,17923.110126
1045,497,17940.779219
252,111,17944.746888
234,112,17948.702313
1057,691,17973.252653
247,109,17977.130433
231,118,17981.323161
760,630,18003.722723
637,295,18014.231021
235,122,18018.560126
768,726,18044.401515
1034,775,18072.048192
614,264,18081.470438
252,122,18085.838013
248,139,18090.783579
611,298,18101.410586
356,472,18118.595322
356,468,18135.34826
605,276,18145.525457
232,160,18151.384241
1047,505,18169.532319
794,698,18194.487092
611,278,18204.437382
1319,843,18234.520873
1054,496,18252.207989
356,471,18268.986592
1050,485,18286.25348
638,294,18296.719536
1043,558,18316.624565
612,241,18325.24552
1338,659,18348.618538
246,106,18352.4123
1698,799,18380.880924
164,88,18384.017859
1038,715,18409.488029
236,131,18414.179211
234,112,18418.155928
244,114,18422.386516
251,111,18426.453062
236,114,18430.509055
629,372,18443.80755
617,551,18463.925753
233,106,18467.69727
241,116,18471.865245
1045,541,18491.129749
232,114,18495.175322
1344,620,18517.257251
662,343,18529.537607
84,55,18531.486429
248,106,18535.284474
1030,841,18565.273355
1029,579,18585.938856
633,356,18598.648587
248,107,18602.479918
605,342,18614.669896
2253,1258,18659.478268
439,261,18668.808493
83,55,18670.758316
1046,505,18688.741077
606,355,18701.453464
228,124,18705.866731
1051,449,18721.894547
779,645,18745.218181
1037,841,18775.684131
800,556,18795.496969
248,111,18799.472465
230,114,18803.525415
246,116,18807.659828
246,115,18811.793111
233,128,18816.3598
604,244,18825.110718
1072,518,18843.622103
597,356,18856.27176
