#{"t_start": 1591361345.185406, "env_id": "SuperMarioBros-v2"}
1039,658,18879.785853
1067,558,18899.684038
229,114,18903.733056
247,110,18907.663859
244,129,18912.277969
235,136,18917.101525
1347,618,18939.139467
175,89,18942.353836
315,146,18947.636872
252,106,18951.438252
246,113,18955.487765
231,114,18959.528211
248,118,18963.740558
636,283,18973.841475
1320,602,18995.248429
246,112,18999.256903
1327,747,19025.925457
163,84,19028.904894
795,978,19064.017639
252,113,19068.048897
233,114,19072.22116
1568,952,19106.633323
176,89,19109.833591
64,72,19112.403889
612,358,19125.131114
249,105,19128.890005
231,114,19132.938509
637,604,19154.427211
1916,1051,19191.887846
54,67,19194.288397
251,110,19198.219561
603,451,19214.302134
234,130,19218.937419
250,110,19222.88534
623,417,19237.697723
1436,708,19262.852182
1331,829,19292.320783
179,83,19295.340575
426,222,19303.240788
248,110,19307.185396
1857,923,19340.361803
157,90,19343.686476
243,116,19347.864908
252,123,19352.267695
229,130,19356.894403
252,106,19360.696937
244,127,19365.240556
234,118,19369.459927
247,114,19373.551269
622,285,19383.877712
575,544,19403.736822
251,106,19407.52805
799,880,19438.935873
233,126,19443.433073
250,118,19447.649346
248,121,19452.047336
233,112,19456.038349
235,134,19460.836152
1066,533,19479.937895
235,112,19483.930074
252,106,19487.758251
251,117,19491.958369
234,112,19495.949886
252,106,19499.746113
249,111,19503.735361
1021,712,19529.083059
1045,592,19550.221213
626,305,19561.18369
1031,506,19579.355507
1039,641,19602.395809
763,625,19624.80611
232,116,19628.950047
1061,618,19651.53457
248,131,19656.309
236,112,19660.358072
252,106,19664.196434
251,111,19668.216348
234,114,19672.320665
609,260,19681.699774
237,129,19686.369322
622,618,19709.310797
1418,876,19740.761026
76,74,19743.44891
64,64,19745.746182
248,110,19749.6903
249,123,19754.097481
594,242,19762.768094
231,156,19768.349722
1049,446,19784.326512
230,132,19789.026296
1698,920,19821.84906
80,63,19824.142851
69,61,19826.332733
1437,550,19845.971683
63,61,19848.187138
159,88,19851.329639
247,112,19855.326647
248,111,19859.318192
233,112,19863.294791
252,106,19867.083432
249,111,19871.056149
598,248,19879.871421
251,106,19883.66744
1045,505,19901.653074
1416,770,19929.106085
250,106,19932.909168
617,301,19943.604865
1670,872,19974.823711
640,553,19994.49816
638,319,20005.923584
233,112,20010.087364
1046,454,20026.51922
1921,899,20058.512068
60,60,20060.649131
818,506,20078.660659
653,283,20088.782778
788,801,20117.221887
253,118,20121.439622
245,143,20126.557341
232,120,20130.814398
1347,596,20151.950824
175,83,20154.935114
312,138,20159.84063
249,112,20163.824578
1436,527,20182.486544
317,138,20187.406884
654,274,20197.117267
250,115,20201.21892
1567,662,20224.696309
1436,650,20247.65979
74,64,20249.949693
61,62,20252.119908
1694,686,20276.63156
177,91,20279.879143
160,92,20283.141535
1335,837,20312.641126
79,59,20314.759764
63,61,20316.946629
1350,502,20335.136162
673,249,20344.011875
312,136,20348.796031
1347,607,20370.235378
77,60,20372.401814
317,134,20377.12526
1705,728,20402.914302
75,60,20405.05619
60,61,20407.232676
252,106,20411.000505
1324,696,20435.635422
459,200,20442.719164
2799,2167,20519.484052
75,77,20522.243584
51,63,20524.485162
1064,669,20548.225
249,105,20551.970475
1033,495,20569.821744
1587,618,20591.754891
61,60,20593.896126
74,77,20596.62266
625,256,20605.736474
1574,855,20636.552178
140,128,20641.147923
250,118,20645.384119
1425,769,20672.677881
80,62,20674.881577
245,108,20678.717755
635,647,20701.662655
236,112,20705.618741
636,626,20727.792772
249,115,20731.879291
1028,544,20751.150249
251,118,20755.380897
248,113,20759.404701
1324,725,20785.034847
1691,856,20815.249151
855,732,20841.078922
49,62,20843.298062
1925,751,20869.856213
75,63,20872.233434
65,64,20874.636146
1049,465,20891.368903
614,265,20900.838711
1672,890,20932.592826
234,136,20937.478881
245,121,20941.972742
623,598,20963.497783
246,128,20968.140101
242,125,20972.641586
1302,939,21005.937227
238,128,21010.471717
1046,522,21028.987125
799,584,21049.797269
617,270,21059.413261
1580,747,21085.95775
60,63,21088.17129
613,352,21100.730864
1311,885,21132.215326
62,64,21134.478178
611,298,21145.078053
1045,487,21162.40693
634,380,21175.924579
1044,542,21195.475809
1352,573,21215.805413
53,65,21218.134719
616,242,21226.739458
613,249,21235.61256
234,112,21239.579851
252,106,21243.357135
252,115,21247.462601
237,112,21251.508132
1341,658,21275.305498
68,64,21277.594872
837,792,21305.725568
1337,780,21333.476615
76,77,21336.253694
309,216,21343.960119
248,108,21347.877279
1340,745,21374.462429
53,65,21376.775778
812,629,21399.198067
819,495,21416.840606
231,112,21420.803506
614,250,21429.703675
513,532,21448.491222
1330,788,21476.559622
1048,522,21495.400267
249,105,21499.144713
234,114,21503.191335
818,502,21521.02852
625,551,21540.597662
232,108,21544.423126
1322,574,21564.993777
447,175,21571.545089
84,55,21573.48844
252,106,21577.264233
245,113,21581.289042
1336,541,21600.550118
1574,894,21632.317758
68,263,21641.634063
430,208,21648.988672
504,715,21674.320927
1048,464,21690.71783
1035,433,21706.052668
806,758,21733.050584
651,335,21745.06618
2079,1554,21800.77464
242,126,21805.291317
612,339,21817.423691
1033,559,21837.374233
1038,706,21862.548232
1050,457,21879.174453
567,488,21896.662028
501,779,21924.324214
639,561,21944.21403
571,378,21957.624614
1039,667,21981.388617
640,543,22000.669396
1027,601,22022.053638
639,566,22042.259637
2212,1757,22105.290602
60,67,22107.703718
252,122,22112.086915
1916,985,22147.38293
47,61,22149.566716
653,288,22159.870041
1347,563,22180.017558
59,86,22183.096822
1347,602,22205.19767
61,60,22207.376264
60,77,22210.114053
248,132,22214.854633
1049,490,22232.34117
1330,648,22255.555043
2115,1135,22296.26535
328,137,22301.225099
81,60,22303.356008
742,524,22322.215415
625,265,22331.733301
800,568,22352.134872
653,288,22362.583917
1345,612,22384.562775
157,88,22387.722675
1335,839,22418.083372
1074,1246,22462.695566
656,255,22471.831537
1350,524,22490.75712
61,60,22492.945771
46,61,22495.169151
1044,558,22515.759721
249,105,22519.538386
639,278,22529.526517
1328,685,22554.158235
664,281,22564.297783
81,60,22566.437254
1920,854,22597.090741
1729,1815,22662.207618
65,58,22664.297182
247,122,22668.681365
654,273,22678.519919
793,714,22704.124346
1351,599,22725.931874
169,95,22729.389302
658,250,22738.434853
250,126,22743.040605
1324,607,22764.881639
84,55,22766.873135
738,470,22783.76384
620,323,22795.368917
1327,686,22820.526212
249,120,22824.850998
1330,647,22848.131205
84,55,22850.116447
618,260,22859.478225
1331,540,22878.920921
420,204,22886.255117
817,534,22905.438443
250,111,22909.469325
1330,644,22932.526997
618,250,22941.497967
641,287,22951.834881
499,503,22969.821827
1348,552,22989.658992
445,181,22996.17411
84,55,22998.156921
1347,505,23016.403408
671,293,23027.199634
317,134,23032.033294
512,548,23051.672414
244,127,23056.218533
1313,727,23082.263011
1023,974,23117.102044
1335,544,23137.153067
161,88,23140.313092
1346,580,23161.166336
432,201,23168.404728
425,188,23175.148051
1349,548,23194.822872
96,59,23196.943316
81,60,23199.103066
652,316,23210.420756
653,297,23221.088693
1413,754,23248.200377
2107,1293,23294.746337
61,60,23296.923542
46,61,23299.122577
1432,652,23322.647385
94,65,23325.136396
46,61,23327.426919
1920,932,23361.083567
434,203,23368.441691
46,61,23370.644797
1431,648,23394.018225
78,69,23396.535692
46,61,23398.716249
1329,823,23428.32973
61,60,23430.608086
46,61,23432.935458
1701,762,23460.711759
75,76,23463.492448
63,70,23466.035594
1349,535,23485.301802
603,231,23493.647746
163,88,23496.81792
1333,587,23518.021351
79,64,23520.363556
163,88,23523.529796
801,853,23554.198107
1049,479,23571.533355
1902,936,23605.382263
1427,844,23636.345935
98,59,23638.52561
159,86,23641.65402
1440,608,23663.634505
78,64,23665.977915
654,292,23676.510756
252,106,23680.373734
1312,1033,23717.693901
841,717,23743.719282
1436,670,23768.259895
74,71,23770.882913
64,67,23773.309027
1351,511,23791.710001
78,65,23794.065493
63,64,23796.386149
1420,822,23826.086269
443,229,23834.388086
65,67,23836.799885
1709,678,23861.294196
176,83,23864.323447
658,304,23875.392315
1325,535,23894.66144
74,71,23897.305773
64,67,23899.720089
614,348,23912.194856
818,519,23930.856394
1900,952,23965.403765
1412,1146,24006.501199
74,81,24009.432986
48,62,24011.667616
1327,650,24035.04251
332,139,24040.062643
156,104,24043.811139
513,522,24063.116791
512,545,24082.6967
1420,590,24103.931452
514,505,24122.123295
621,261,24131.530405
1310,559,24151.656478
1048,463,24168.29377
1048,482,24185.595209
724,438,24201.337507
818,502,24219.407181
514,510,24237.682995
1900,836,24268.07187
1423,756,24295.230602
79,69,24297.756245
163,82,24300.724077
1879,890,24332.800653
70,65,24335.150589
317,140,24340.186978
1326,529,24359.28281
178,89,24362.537965
83,61,24364.867508
2106,1306,24412.567611
167,101,24416.251184
161,84,24419.27078
1325,950,24453.407508
176,81,24456.346167
587,270,24466.024166
651,324,24477.655405
1916,905,24510.183978
416,200,24517.357374
789,816,24546.631403
1150,789,24575.189746
1024,685,24599.730487
1433,578,24620.417205
602,259,24629.738202
152,106,24633.550372
813,602,24655.251453
249,111,24659.279803
612,808,24688.936352
653,280,24698.946679
1427,837,24728.922176
76,61,24731.11084
1038,879,24762.484222
1433,697,24787.455917
60,83,24790.501842
630,276,24800.343777
613,337,24812.391456
771,1157,24853.616526
610,262,24863.324328
780,655,24886.684242
1679,856,24917.328962
639,567,24937.676707
1048,487,24955.028043
1329,615,24977.012968
734,504,24995.619559
247,111,24999.617366
1037,456,25015.921678
1711,682,25040.296846
795,653,25063.718875
64,60,25065.854195
804,790,25094.24513
249,119,25098.557558
594,264,25108.010294
249,116,25112.201752
1328,707,25137.680876
64,60,25139.846878
759,596,25161.263441
246,115,25165.630747
234,116,25169.836225
1328,648,25193.128981
78,59,25195.28025
64,61,25197.492927
1347,627,25220.065822
79,59,25222.223951
64,61,25224.401132
247,108,25228.29911
653,281,25238.422504
232,128,25243.031705
771,490,25260.658034
1414,1047,25298.441936
64,60,25300.719396
1588,608,25323.130948
75,62,25325.383121
151,100,25328.966677
1315,738,25355.539923
178,81,25358.468193
58,63,25360.741254
1044,554,25380.676153
1345,617,25402.856417
64,60,25405.002795
242,144,25410.19564
1688,735,25436.578603
64,61,25438.776304
1333,746,25465.51184
173,87,25468.88171
62,64,25471.291742
251,120,25475.700485
246,125,25480.188771
1863,790,25508.354775
1051,421,25523.398579
512,551,25543.035563
1844,778,25570.866113
1328,609,25592.692365
80,59,25594.829297
62,57,25596.881372
1041,603,25619.073797
606,273,25628.903745
638,286,25639.182856
249,122,25643.626432
613,251,25652.630924
1678,768,25680.219243
1858,858,25710.940905
77,57,25713.009445
654,272,25722.756618
1358,547,25742.341322
77,63,25744.652463
62,64,25746.937058
1038,687,25771.624603
1039,623,25794.274523
799,586,25815.335216
773,812,25844.545369
242,143,25849.71387
1841,814,25878.996898
514,503,25897.075251
2241,1494,25951.511429
64,61,25953.709259
1442,532,25972.857952
79,59,25975.019426
64,61,25977.199145
1333,584,25998.241164
447,173,26004.510247
578,246,26013.361001
354,506,26031.576282
1324,562,26051.890015
160,84,26054.930486
639,568,26075.446125
1428,697,26100.921841
163,82,26103.882064
514,502,26121.95571
1692,689,26146.741015
163,82,26149.706771
633,270,26159.468703
2367,964,26194.251287
70,70,26196.772874
1056,712,26222.429421
1341,669,26247.146996
58,81,26250.065442
247,114,26254.194673
1851,949,26288.423382
64,61,26290.626052
615,328,26302.478132
1684,879,26334.223745
62,64,26336.55519
250,114,26340.682037
809,688,26365.56918
1327,640,26388.689881
608,230,26397.250033
2090,1625,26456.025423
161,82,26458.988057
1422,788,26487.330054
326,149,26492.715218
65,65,26495.028415
587,378,26508.574996
591,431,26524.24415
625,302,26535.116601
761,896,26567.892986
1855,871,26599.57035
593,234,26608.050366
610,238,26616.661085
1835,887,26648.68291
162,82,26651.6421
1722,772,26679.43537
670,265,26689.04717
592,270,26699.11976
1863,850,26729.857599
178,83,26732.87376
163,88,26736.048864
628,302,26746.98445
249,111,26750.997975
708,412,26765.860548
611,234,26774.254109
1906,889,26806.100183
161,88,26809.234487
1317,700,26834.331913
796,951,26868.902008
232,106,26872.693089
245,112,26876.724419
251,109,26880.634896
609,262,26890.003583
613,240,26898.584364
249,113,26902.629477
232,106,26906.40154
1315,789,26934.607846
610,251,26943.655166
59,76,26946.376429
618,338,26958.450073
803,816,26987.709248
234,106,26991.479513
252,106,26995.365517
618,339,27007.817411
233,112,27011.834887
633,683,27036.265354
249,105,27040.044814
762,588,27061.072735
641,528,27079.943152
251,111,27083.934849
237,108,27087.824979
1051,456,27104.216124
632,712,27129.786911
624,564,27149.904178
1332,755,27177.562094
75,73,27180.181001
60,74,27182.815949
251,108,27186.702201
812,621,27208.869206
602,254,27217.996716
248,106,27221.777615
1050,418,27236.823371
1037,438,27252.508584
1060,690,27277.259402
1428,753,27304.288222
68,68,27306.748815
628,789,27335.209059
249,113,27339.274978
236,114,27343.350277
247,112,27347.353883
1032,834,27377.046683
492,654,27400.252904
250,110,27404.166715
1579,859,27434.734881
837,789,27462.79141
1439,562,27483.337949
669,301,27494.290785
1066,1100,27533.494235
1048,498,27551.24113
811,641,27574.058035
801,558,27593.995806
512,551,27613.645193
811,645,27636.996465
1568,668,27660.794581
252,106,27664.613176
1344,652,27687.881654
657,254,27696.963609
1680,1042,27734.199677
74,71,27736.77862
61,68,27739.223094
249,108,27743.104224
1437,593,27764.300231
654,258,27773.51692
1852,834,27803.908164
71,66,27806.275682
423,196,27813.29643
615,372,27826.633653
1697,751,27853.613834
62,70,27856.125896
637,314,27867.384669
1137,737,27893.801447
1311,550,27913.447182
1160,440,27929.557927
1050,466,27946.300613
638,290,27956.760864
1049,490,27974.286126
1880,781,28002.336045
64,65,28004.653355
356,474,28021.668544
356,462,28038.242492
499,515,28056.620624
1040,648,28079.855212
1922,795,28108.918143
150,100,28112.492798
1582,682,28136.865777
80,65,28139.214215
59,72,28141.791882
803,816,28170.905159
247,121,28175.244861
1019,764,28202.500109
1034,750,28229.450096
247,115,28233.725517
235,114,28237.774943
635,647,28260.873931
1326,533,28279.917366
51,64,28282.211114
759,532,28301.250537
1325,714,28326.800618
62,62,28329.032251
1047,506,28347.135283
249,113,28351.198073
1678,736,28377.588643
815,562,28397.735456
1051,632,28420.989204
499,509,28439.266809
1869,1076,28477.835777
65,62,28480.089761
53,65,28482.406319
632,702,28507.582056
1582,675,28531.755433
315,134,28536.748288
252,106,28540.660262
610,233,28549.015196
601,358,28561.826281
1912,1062,28599.944445
78,65,28602.309864
61,66,28604.657844
1313,782,28632.698174
327,137,28637.63747
313,138,28642.575849
1430,618,28664.661851
79,63,28666.945294
64,65,28669.28157
511,564,28689.459145
2090,1626,28748.104126
64,61,28750.287127
513,523,28768.984053
1072,455,28785.297855
236,122,28789.661851
1052,451,28805.82896
637,616,28827.886638
1418,612,28850.133784
248,106,28853.969973
514,516,28872.581289
233,114,28876.661597
1422,770,28904.250081
74,72,28906.85731
314,152,28912.312828
622,902,28944.684147
1684,847,28975.105568
60,75,28977.797866
638,587,28998.972994
631,721,29024.818896
1884,1354,29074.18167
616,404,29088.644329
500,789,29116.891621
1034,498,29134.80019
1045,508,29153.297476
513,536,29172.528099
1408,780,29200.486272
607,258,29209.751652
250,129,29214.378745
624,571,29234.842628
639,568,29255.223523
1424,843,29285.434733
63,66,29287.785424
245,122,29292.179389
639,565,29312.391812
626,536,29331.577136
635,649,29355.328599
246,121,29359.681872
622,619,29381.897975
1346,572,29402.433779
78,65,29404.797709
63,66,29407.175608
611,228,29415.366832
608,1182,29457.791772
2222,1565,29513.659412
637,610,29535.403504
1325,645,29558.405464
84,58,29560.482216
579,582,29581.167384
248,113,29585.211363
233,112,29589.216079
1325,707,29614.375336
99,65,29616.704003
83,60,29618.846125
639,560,29638.839934
1568,1007,29675.20703
82,64,29677.470082
1054,530,29696.361521
639,565,29716.470371
236,112,29720.439508
1841,1050,29757.822812
72,66,29760.268447
74,66,29762.751199
243,118,29767.05334
1582,733,29793.170308
67,73,29795.756995
638,580,29816.402532
1046,517,29834.804707
623,588,29855.725839
248,114,29859.811087
639,578,29880.393659
1679,816,29909.500882
252,106,29913.290126
249,129,29917.930106
499,517,29936.301389
639,560,29956.240835
1048,473,29973.485483
233,112,29977.584905
248,106,29981.39157
251,113,29985.420075
1308,574,30005.846082
248,106,30009.631884
1320,626,30031.969605
173,106,30035.766052
250,108,30039.622277
1038,850,30070.078207
1687,682,30094.23481
1418,766,30121.445922
68,64,30123.73227
62,68,30126.149402
811,652,30149.317084
653,299,30159.943628
497,551,30179.472412
640,550,30199.009174
249,105,30202.762033
2070,1725,30263.981492
247,122,30268.356788
623,277,30278.293017
490,743,30305.076642
513,533,30323.978165
246,107,30327.813617
494,617,30349.669155
1023,969,30384.287835
1047,536,30403.375921
236,114,30407.425012
633,298,30418.001015
247,111,30421.966005
234,112,30425.934651
252,106,30429.72918
1326,713,30455.067615
63,69,30457.516171
1048,464,30474.000856
252,113,30478.032018
1661,968,30512.369724
641,536,30531.54474
249,105,30535.292483
232,106,30539.058208
818,502,30556.868556
249,105,30560.614205
233,112,30564.591543
252,112,30568.575881
1859,903,30601.202917
415,206,30608.525494
1346,764,30635.649548
73,67,30638.061982
157,98,30641.57924
1332,588,30662.461449
80,71,30664.9927
58,69,30667.447155
817,534,30686.661819
1319,690,30711.148918
61,62,30713.351719
639,572,30733.666432
1047,523,30752.241149
1032,475,30769.118416
626,338,30781.153877
249,111,30785.148358
1333,547,30815.26099
1329,571,30835.591428
73,67,30838.031232
61,75,30840.708223
1052,405,30855.174276
247,109,30859.079628
2327,1485,30912.470773
1348,634,30934.989823
73,67,30937.401988
58,69,30939.835149
248,130,30944.474381
511,563,30964.463546
1415,684,30989.001962
231,136,30993.886017
228,141,30998.930031
621,630,31021.340082
630,336,31033.345994
237,133,31038.101981
229,120,31042.376145
1329,762,31069.500994
76,64,31071.788275
656,258,31080.989282
1333,899,31112.948807
84,74,31115.622699
61,65,31117.913794
246,114,31121.981334
246,115,31126.091675
228,124,31130.520195
246,112,31134.517332
641,529,31153.32926
231,108,31157.223725
251,108,31161.083872
235,135,31165.915771
235,116,31170.03358
251,108,31173.891494
1697,815,31202.886254
65,66,31205.233809
250,108,31209.095694
248,117,31213.422778
230,114,31217.682002
1046,479,31234.930169
1061,477,31251.969557
619,680,31276.194036
248,112,31280.253481
1322,781,31308.363183
316,146,31313.588424
1919,848,31343.893976
327,153,31349.383604
842,685,31373.815182
252,106,31377.624525
250,119,31381.883337
234,120,31386.161229
637,611,31407.941743
636,623,31430.220962
612,354,31442.846596
1060,749,31469.549104
1928,755,31496.460608
76,61,31498.638247
249,106,31502.440911
251,111,31506.411829
235,118,31510.60289
252,106,31514.407644
514,509,31533.039806
233,106,31536.824069
514,507,31554.885114
635,652,31578.124975
498,539,31597.284482
1338,646,31620.617828
671,259,31629.877999
156,96,31633.304768
654,270,31642.945952
513,522,31661.546658
1028,556,31681.357322
514,501,31699.263583
640,543,31718.629193
342,459,31734.971876
1048,483,31752.187865
251,119,31756.443513
232,120,31760.726063
513,535,31779.736429
1042,615,31801.687223
235,112,31805.695434
251,106,31809.497218
251,123,31813.898798
232,112,31817.878693
251,106,31821.675463
811,651,31845.403495
802,538,31864.600709
252,106,31868.4123
1032,826,31897.900604
497,545,31917.642925
249,114,31921.717134
1330,567,31941.932599
155,88,31945.056358
1330,574,31965.552727
446,173,31971.797632
843,672,31995.764145
245,124,32000.202132
1044,476,32017.179094
236,114,32021.233382
249,108,32025.097801
251,131,32029.780198
1313,637,32052.531177
1349,524,32071.261599
443,183,32077.816011
156,94,32081.172909
514,517,32099.625408
637,619,32121.739309
1031,468,32138.422771
1043,493,32156.549858
252,119,32160.837624
1319,756,32187.81019
637,613,32209.705638
1340,603,32231.472483
75,57,32233.517751
1441,584,32254.414107
603,263,32263.828691
153,98,32267.334738
1425,828,32296.981956
162,109,32300.902752
67,73,32303.496412
1331,606,32325.122259
59,67,32327.519104
69,60,32329.673766
243,116,32333.841727
244,117,32338.027464
227,124,32342.446752
247,112,32346.482036
514,511,32364.686139
616,734,32390.819986
633,680,32415.06585
251,111,32419.052029
619,678,32443.258807
635,651,32466.909316
627,804,32495.548784
624,568,32515.860994
1054,506,32534.24354
1318,822,32563.713597
499,512,32582.0298
514,511,32600.327148
251,111,32604.332801
499,509,32622.533112
1035,763,32649.8568
249,111,32653.85722
495,582,32674.682473
632,718,32700.409758
623,361,32713.353736
608,466,32730.0054
251,106,32733.818146
245,117,32738.026333
236,112,32742.020458
250,114,32746.102622
250,111,32750.086818
1302,703,32775.688363
513,534,32794.901294
494,917,32827.950613
498,535,32847.089552
249,116,32851.265935
639,570,32871.653305
624,572,32892.124449
638,589,32913.223695
2322,1874,32980.518257
301,197,32987.660401
239,126,32992.243494
636,626,33014.898207
1029,505,33033.044344
1040,565,33053.360893
1844,915,33086.658389
62,65,33089.054518
1333,539,33108.29994
76,71,33110.852866
63,65,33113.184885
513,522,33131.98259
513,533,33151.158994
1910,730,33177.269107
1045,712,33202.797921
1341,493,33220.44568
59,72,33223.027393
631,721,33248.849275
355,494,33266.526684
1332,581,33287.326258
355,495,33305.044714
611,577,33325.697821
1042,518,33344.244692
638,598,33365.624675
636,625,33387.980962
221,134,33392.885209
635,641,33416.045297
626,315,33427.293907
231,126,33431.767226
512,540,33451.210499
633,315,33462.392471
1315,695,33487.11001
1697,842,33516.96345
164,103,33520.642757
58,68,33523.098105
1339,630,33545.395681
443,185,33551.998789
654,278,33561.840255
249,120,33566.134298
251,111,33570.080646
499,510,33588.095957
250,120,33592.362606
252,113,33596.387745
624,579,33616.876186
513,526,33635.509777
250,111,33639.461047
341,465,33655.970222
509,618,33678.00979
252,113,33682.03005
232,114,33686.079326
251,106,33689.882644
806,741,33716.77129
237,114,33720.802164
1349,555,33740.457129
331,133,33745.332362
437,196,33752.358361
513,521,33770.75094
247,113,33774.769825
234,114,33778.791207
513,532,33797.667391
1046,545,33817.104868
1037,436,33832.678448
1066,562,33852.8012
1336,787,33880.994244
177,100,33884.583842
252,106,33888.39503
251,111,33892.394884
787,838,33922.245473
249,106,33926.07082
251,111,33930.037493
341,471,33946.825769
1343,680,33971.029579
95,64,33973.343555
60,77,33976.082729
1352,504,33994.075876
80,71,33996.617883
590,254,34005.67116
514,512,34024.419426
250,111,34028.384923
235,112,34032.360192
251,106,34036.151346
513,530,34055.249394
1028,558,34075.133571
357,447,34091.061167
1031,754,34117.88647
498,527,34136.655948
737,630,34159.026678
504,715,34184.432501
1298,788,34212.552542
631,738,34238.770195
1336,545,34258.155504
51,64,34260.425145
512,540,34279.561538
625,327,34291.15678
236,112,34295.12651
514,502,34312.904665
639,325,34324.54396
236,114,34328.812872
513,528,34347.747853
510,581,34368.524362
617,336,34380.380675
1059,418,34395.139092
1688,983,34429.885642
80,66,34432.233677
514,508,34450.265615
1320,861,34480.800859
62,62,34482.993138
509,617,34504.761894
1332,578,34525.130148
49,57,34527.117779
513,527,34545.676944
1436,651,34568.610124
48,62,34570.800432
635,322,34582.185982
242,137,34587.019965
1321,587,34607.676627
247,112,34611.638895
248,117,34615.805602
236,112,34619.739367
1339,588,34640.746175
66,62,34643.042389
60,63,34645.340983
812,636,34668.013213
602,431,34683.265021
495,587,34703.920322
249,110,34707.8355
512,545,34727.002326
621,622,34748.881649
604,416,34763.576106
251,123,34767.93165
626,536,34786.781285
252,106,34790.534716
514,510,34808.486641
1031,508,34826.399489
252,106,34830.144216
250,111,34834.065322
236,112,34838.009609
640,556,34857.600901
247,113,34861.597384
236,112,34865.534081
250,110,34869.416635
631,723,34894.843467
787,834,34924.165967
252,106,34927.909205
500,790,34956.271562
801,558,34976.257883
252,106,34980.039182
248,111,34983.981655
235,112,34987.93411
514,509,35005.959636
511,562,35025.81626
1040,512,35043.90599
252,108,35047.751234
512,542,35066.916704
235,112,35070.859961
252,106,35074.624883
513,521,35093.01632
617,720,35118.449914
1040,678,35142.392191
608,237,35150.793285
597,242,35159.362703
809,688,35183.705873
1328,959,35217.763753
56,66,35220.091977
608,274,35229.850271
609,269,35239.44227
639,276,35249.26111
252,106,35253.049509
1336,810,35282.693995
158,90,35285.904402
1043,598,35307.185488
1576,887,35338.782367
160,90,35341.993942
637,615,35363.921301
242,125,35368.373389
802,540,35387.581716
652,300,35398.280409
249,115,35402.394263
227,120,35406.682544
637,602,35428.08497
1339,541,35447.300727
654,294,35457.832362
356,467,35474.455517
607,233,35482.742671
233,128,35487.270679
249,114,35491.341345
247,119,35495.607108
234,112,35499.576216
634,663,35523.181157
249,111,35527.160159
498,538,35546.271752
602,264,35555.679443
244,115,35559.807785
592,234,35568.146377
248,112,35572.342702
514,514,35591.269591
499,511,35609.432554
638,580,35630.06308
614,277,35639.944337
499,509,35658.034624
248,116,35662.178382
247,125,35666.632977
225,122,35670.999371
630,759,35698.033556
